station_id longitude latitude elevation_m
QJ01 102.92522728 26.91907091 863
QJ02 102.99965858459473 27.247151752253224 1776
QJ03 102.92358040809631 27.252874623070255 1896
QJ04 102.72480726242065 27.03584399674518 838
QJ05 102.86739349365234 26.985723763197136 1372
QJ06 102.92792558670044 26.968427170787848 1196
QJ07 103.13675165176392 26.839867395831824 1710
QJ08 102.99517393112183 26.75747103476693 844
QJ09 102.79612720012665 26.722996986901023 1915
QJ10 103.05093169212341 26.563790638641727 873




