20220823  11535121   26.7050   103.1660      0.500   2.9    0.00    0.00   0.55          1
20220823  15134431   26.9740   102.9870      6.910   2.5    0.00    0.00   0.04          2
20220823  16294855   26.9290   102.8390     11.230   1.9    0.00    0.00  -0.00          3
20220824     40157   27.2570   102.9020      1.940   2.7    0.00    0.00   0.77          4
20220824   7330422   26.8330   102.6610      0.960   3.1    0.00    0.00   0.22          5
20220824  15251175   26.9780   102.9420      1.280   1.7    0.00    0.00  -0.01          6
20220824  17231698   26.6760   103.0680      1.120   0.8    0.00    0.00   0.01          7
20220824  20131532   27.0370   103.1750      0.000   1.9    0.00    0.00   0.41          8
20220825   4135948   27.1730   102.8020      1.660   3.4    0.00    0.00   0.04          9
20220825   5423472   26.8830   102.8230     13.190   3.1    0.00    0.00   0.19         10
20220825   6444451   27.1300   102.7180      1.010   3.4    0.00    0.00   0.11         11
20220825   6531244   26.8980   103.1620      2.170   2.0    0.00    0.00  -0.49         12
20220825   7532981   27.2010   102.6170     31.000   3.4    0.00    0.00  -0.05         13
20220825  10105241   26.9170   102.5720      0.000   3.1    0.00    0.00   0.03         14
20220825  14531597   27.1010   102.8600      1.350   1.5    0.00    0.00   0.04         15
20220825  18265108   27.2500   102.9590      1.670   2.5    0.00    0.00   0.12         16
20220825  20325796   26.8480   102.8440      0.830   3.0    0.00    0.00   0.00         17
20220825  20333318   26.4910   103.2010      1.120   2.7    0.00    0.00  -0.11         18
20220825  20442064   26.7880   103.0060      0.930   2.1    0.00    0.00   0.08         19
20220825  21233648   26.8380   102.8310      0.410   2.9    0.00    0.00  -0.06         20
20220826    102046   26.8520   102.8670     11.140   2.9    0.00    0.00   0.00         21
20220826    363796   26.8250   102.9510      0.740   1.6    0.00    0.00  -0.03         22
20220826   2103714   27.2520   102.9260      1.900   1.6    0.00    0.00   0.29         23
20220826   2201666   26.9850   102.8790      0.870   2.7    0.00    0.00   0.30         24
20220826   4102935   27.2460   103.0580      9.100   3.4    0.00    0.00   0.03         25
20220826   4441720   26.7120   103.1140      1.400   2.5    0.00    0.00   0.06         26
20220826   4535040   27.1600   103.0110      2.060   2.2    0.00    0.00   0.05         27
20220826   7010280   26.9460   102.9780      1.940   2.5    0.00    0.00   0.19         28
20220826   7220174   27.2000   103.0130      1.100   2.8    0.00    0.00   0.20         29
20220826   7534797   26.7190   102.9810      0.760   2.8    0.00    0.00   0.19         30
20220826  10093317   26.8130   102.6630      0.830   3.4    0.00    0.00  -0.03         31
20220826  11273281   27.0060   102.7940      0.980   3.1    0.00    0.00   0.01         32
20220826  11331916   27.1350   103.1560      2.090   3.3    0.00    0.00  -0.12         33
20220826  11451818   27.1920   103.0900      4.120   2.6    0.00    0.00  -0.01         34
20220826  13221752   27.3100   103.0150      1.870   3.2    0.00    0.00   0.03         35
20220826  13363823   26.9830   102.9320      1.220   1.7    0.00    0.00  -0.31         36
20220826  15550686   26.9580   102.8590      8.870   2.2    0.00    0.00  -0.01         37
20220826  17461054   26.9040   103.0890      2.970   2.0    0.00    0.00   0.20         38
20220826  18102256   26.6320   103.1180      0.890   2.5    0.00    0.00   0.04         39
20220826  19134724   26.6650   103.0030      0.570   1.6    0.00    0.00   0.13         40
20220826  20002764   27.0630   102.5480     10.640   2.7    0.00    0.00   0.03         41
20220826  20453752   27.0540   102.7440      0.920   2.1    0.00    0.00   0.09         42
20220827  11434388   26.9100   102.8080      0.660   2.9    0.00    0.00   0.48         43
20220827  12233578   27.0690   102.8630      1.200   3.5    0.00    0.00   0.05         44
20220827  23483784   26.8560   102.9290      0.560   3.1    0.00    0.00   0.40         45
20220828   3531649   26.6930   103.1070      1.270   1.3    0.00    0.00   0.10         46
20220828   5335424   26.5190   103.2190      0.000   3.2    0.00    0.00  -0.10         47
20220828  12045212   27.0930   102.9310      1.840   1.9    0.00    0.00  -0.34         48
20220828  13043812   27.0310   103.2040      1.930   3.4    0.00    0.00   0.03         49
20220828  13131477   26.7590   102.9820      0.870   1.4    0.00    0.00  -0.13         50
20220828  13145571   26.7660   103.1410      1.610   2.4    0.00    0.00   0.08         51
20220828  13203571   26.9000   103.1180      1.720   3.0    0.00    0.00   0.12         52
